network,station,name,lat,lon,alt,sensitivity,site,vs30
QH,E0004,E0004,36.31000,101.11000,0,70000000000.0,地表,540.01
QH,E0009,E0009,36.24000,101.56000,0,70000000000.0,地表,857.04
QH,E0010,E0010,36.16000,101.64000,0,70000000000.0,地表,718.44
QH,E0011,E0011,36.13000,101.56000,0,70000000000.0,地表,660.55
QH,E0013,E0013,36.06000,101.44000,0,70000000000.0,地表,342.09
QH,E0017,E0017,35.74000,101.56000,0,70000000000.0,地表,539.74
QH,E0019,E0019,36.05000,101.33000,0,70000000000.0,地表,483.80
QH,E0020,E0020,36.00000,101.40000,0,70000000000.0,地表,375.37
QH,E0021,E0021,35.91000,101.39000,0,70000000000.0,地表,423.25
QH,E0023,E0023,36.12000,101.20000,0,70000000000.0,地表,528.52
QH,E0024,E0024,36.19000,101.22000,0,70000000000.0,地表,708.54
QH,E0026,E0026,35.71000,101.37000,0,70000000000.0,地表,454.71
QH,E0027,E0027,35.79000,101.39000,0,70000000000.0,地表,389.63
QH,E0028,E0028,36.22000,101.30000,0,70000000000.0,地表,900.00
QH,E0029,E0029,35.79000,101.29000,0,70000000000.0,地表,546.87
QH,E0033,E0033,35.78000,101.11000,0,70000000000.0,地表,607.33
QH,E0036,E0036,35.70000,101.27000,0,70000000000.0,地表,592.40
QH,E0037,E0037,35.75000,101.21000,0,70000000000.0,地表,373.89
QH,E0039,E0039,35.56000,101.09000,0,70000000000.0,地表,499.93
QH,E0040,E0040,35.54000,101.25000,0,70000000000.0,地表,397.02
QH,E0046,E0046,35.94000,101.49000,0,70000000000.0,地表,524.30
QH,E0047,E0047,36.29000,101.54000,0,70000000000.0,地表,556.05
QH,E0048,E0048,36.64000,100.81000,0,70000000000.0,地表,333.48
QH,ED019,ED019,36.03000,101.41000,0,70000000000.0,地表,363.25
QH,EG051,EG051,36.43000,101.01000,0,70000000000.0,地表,494.31
QH,EN017,EN017,35.81000,101.11000,0,70000000000.0,地表,530.64
QH,EN054,EN054,35.50000,101.11000,0,70000000000.0,地表,295.79
QH,F0001,F0001,33.78000,101.04000,0,70000000000.0,地表,513.01
QH,F0002,F0002,33.65000,101.16000,0,70000000000.0,地表,588.35
QH,F0008,F0008,33.68000,100.62000,0,70000000000.0,地表,852.86
QH,F0021,F0021,34.53000,100.41000,0,70000000000.0,地表,830.33
QH,F0024,F0024,34.40000,100.27000,0,70000000000.0,地表,311.01
QH,F0028,F0028,33.92000,100.79000,0,70000000000.0,地表,841.99
QH,F0029,F0029,33.85000,100.12000,0,70000000000.0,地表,547.84
QH,F0030,F0030,33.76000,100.26000,0,70000000000.0,地表,612.85
QH,F0031,F0031,33.62000,99.80000,0,70000000000.0,地表,313.13
QH,FG055,FG055,34.15000,100.19000,0,70000000000.0,地表,497.57
QH,FJ056,FJ056,33.73000,100.62000,0,70000000000.0,地表,586.15
QH,GACYK,GACYK,37.36000,100.10000,0,70000000000.0,基岩,595.25
QH,GADKQ,GADKQ,34.00000,99.89000,0,70000000000.0,基岩,769.79
QH,GADXZ,GADXZ,34.04000,100.78000,0,70000000000.0,基岩,582.03
QH,GOHJX,GOHJX,36.59000,100.29000,0,70000000000.0,基岩,469.96
QH,HD030,HD030,36.30000,98.10000,0,70000000000.0,地表,303.64
QH,HT029,HT029,37.29000,99.02000,0,70000000000.0,地表,309.06
QH,HULZB,HULZB,36.27000,101.98000,0,70000000000.0,基岩,733.55
QH,HW028,HW028,36.92000,98.47000,0,70000000000.0,地表,293.69
QH,JIZJJ,JIZJJ,35.99000,101.84000,0,70000000000.0,基岩,699.13
QH,MADMC,MADMC,34.92000,98.21000,0,70000000000.0,基岩,473.26
GS,P000A,P000A,34.18000,101.45000,0,70000000000.0,地表,505.11
GS,P000B,P000B,33.99000,102.07000,0,70000000000.0,地表,338.30
QH,TIJLM,TIJLM,37.85000,98.78000,0,70000000000.0,基岩,575.32
QH,TORLW,TORLW,35.52000,102.01000,0,70000000000.0,基岩,635.71
QH,E0014,E0014,35.99000,101.47000,0,70000000000.0,地表,622.52
QH,E0015,E0015,35.85000,101.50000,0,70000000000.0,地表,695.43
QH,E0022,E0022,36.12000,101.29000,0,70000000000.0,地表,516.20
QH,ED016,ED016,35.90000,101.51000,0,70000000000.0,地表,488.49
QH,F0027,F0027,34.15000,100.44000,0,70000000000.0,地表,554.17
YN,E2210,E2210,24.53000,101.16000,0,70000000000.0,地表,900.00
YN,F0301,F0301,24.32000,102.63000,0,70000000000.0,地表,669.12
YN,F0303,F0303,24.32000,102.73000,0,70000000000.0,地表,258.37
YN,F2302,F2302,24.18000,102.75000,0,70000000000.0,地表,273.18
YN,F2701,F2701,24.05000,101.57000,0,70000000000.0,地表,568.54
YN,F2702,F2702,23.68000,101.64000,0,70000000000.0,地表,456.13
YN,F2706,F2706,24.15000,101.51000,0,70000000000.0,地表,735.41
YN,F2708,F2708,23.93000,102.15000,0,70000000000.0,地表,292.29
YN,F2710,F2710,23.73000,101.58000,0,70000000000.0,地表,728.00
YN,F2801,F2801,23.68000,101.97000,0,70000000000.0,地表,315.89
YN,F2802,F2802,23.66000,102.14000,0,70000000000.0,地表,806.58
YN,F2803,F2803,23.57000,101.78000,0,70000000000.0,地表,900.00
YN,F2804,F2804,23.64000,101.90000,0,70000000000.0,地表,450.21
YN,F2805,F2805,23.50000,101.85000,0,70000000000.0,地表,746.94
YN,F2806,F2806,23.83000,102.09000,0,70000000000.0,地表,900.00
YN,F2807,F2807,23.41000,102.01000,0,70000000000.0,地表,806.81
YN,F2808,F2808,23.71000,101.83000,0,70000000000.0,地表,455.49
